Orden;Tipo Contenedor;Modelo;Lote;Distrito;Barrio;Carga;Coordenda X;Coordenada Y;Latitud;Longitud;Código Situado;Dirección
3291;Vidrio;V 3100 CS;2;SAN BLAS-CANILLEJAS;ROSAS;Carga Superior;448175,22;4475491,383;40,428445149439;-3,610967787858;CS_205_070;AVENIDA CANILLEJAS A VICALVARO, 74
3292;Papel-Cartón;PC 3100 CS;3;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;Carga Superior;448088,441;4468630,298;40,366630503851;-3,611431375745;CS_183_116;CALLE PEÑARANDA DE BRACAMONTE, 42
3293;Vidrio;V 3100 CS;3;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;Carga Superior;448088,441;4468630,298;40,366630503851;-3,611431375745;CS_183_116;CALLE PEÑARANDA DE BRACAMONTE, 42
3294;Papel-Cartón;PC 3100 CS;2;HORTALEZA;VALDEFUENTES;Carga Superior;448240,376;4482202,89;40,488910314875;-3,610746979044;CS_166_214;CALLE ESTANISLAO PEREZ PITA, 18
3295;Vidrio;V 3100 CS;2;HORTALEZA;VALDEFUENTES;Carga Superior;448240,376;4482202,89;40,488910314875;-3,610746979044;CS_166_214;CALLE ESTANISLAO PEREZ PITA, 18
3296;Papel-Cartón;PC 3100 CS;3;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;Carga Superior;448366,548;4469174,621;40,371551426991;-3,608199995197;CS_183_031;CALLE ENTREPEÑAS, 46
3297;Vidrio;V 3100 CS;3;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;Carga Superior;448366,548;4469174,621;40,371551426991;-3,608199995197;CS_183_031;CALLE ENTREPEÑAS, 46
3298;Resto;R 2750 CL;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Lateral;448098,504;4473492,244;40,410430856346;-3,611709009297;CL_191_105;CALLE CORDOVIN, 9
3299;PMB;E 2750 CL;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Lateral;448098,504;4473492,244;40,410430856346;-3,611709009297;CL_191_105;CALLE CORDOVIN, 9
3300;Orgánica;O 2750 CL;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Lateral;448098,504;4473492,244;40,410430856346;-3,611709009297;CL_191_105;CALLE CORDOVIN, 9
3301;Papel-Cartón;PC 3100 CS;2;SAN BLAS-CANILLEJAS;ROSAS;Carga Superior;448294,085;4474748,816;40,421763036024;-3,609506164081;CS_205_034;CALLE SUECIA, 8
3302;Papel-Cartón;PC 3100 CS;2;SAN BLAS-CANILLEJAS;ROSAS;Carga Superior;448294,085;4474748,816;40,421763036024;-3,609506164081;CS_205_034;CALLE SUECIA, 8
3303;Vidrio;V 3100 CS;2;SAN BLAS-CANILLEJAS;ROSAS;Carga Superior;448294,085;4474748,816;40,421763036024;-3,609506164081;CS_205_034;CALLE SUECIA, 8
3304;Papel-Cartón;PC 3100 CS;2;SAN BLAS-CANILLEJAS;ROSAS;Carga Superior;448151,022;4475003,7;40,424050288985;-3,611213273842;CS_205_028;CALLE RUSIA, 1
3305;Vidrio;V 3100 CS;2;SAN BLAS-CANILLEJAS;ROSAS;Carga Superior;448151,022;4475003,7;40,424050288985;-3,611213273842;CS_205_028;CALLE RUSIA, 1
3306;Resto;R 2750 CL;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Lateral;448207,01;4473378,804;40,409415673471;-3,610420997028;CL_191_098;CALLE CASALARREINA, 3
3307;PMB;E 2750 CL;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Lateral;448207,01;4473378,804;40,409415673471;-3,610420997028;CL_191_098;CALLE CASALARREINA, 3
3308;Orgánica;O 2750 CL;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Lateral;448207,01;4473378,804;40,409415673471;-3,610420997028;CL_191_098;CALLE CASALARREINA, 3
3309;Papel-Cartón;PC 3100 CS;3;VILLA DE VALLECAS;SANTA EUGENIA;Carga Superior;448438,678;4470737,115;40,385631938692;-3,607476822847;CS_182_021;CALLE CASTRILLO DE AZA, 2
3310;Papel-Cartón;PC 3100 CS;3;VILLA DE VALLECAS;SANTA EUGENIA;Carga Superior;448438,678;4470737,115;40,385631938692;-3,607476822847;CS_182_021;CALLE CASTRILLO DE AZA, 2
3311;Vidrio;V 3100 CS;3;VILLA DE VALLECAS;SANTA EUGENIA;Carga Superior;448438,678;4470737,115;40,385631938692;-3,607476822847;CS_182_021;CALLE CASTRILLO DE AZA, 2
3312;Papel-Cartón;PC 3100 CS;3;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;Carga Superior;448148,477;4469492,844;40,374404668080;-3,610794439578;CS_183_006;AVENIDA LA GAVIA, 18
3313;Vidrio;V 3100 CS;3;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;Carga Superior;448148,477;4469492,844;40,374404668080;-3,610794439578;CS_183_006;AVENIDA LA GAVIA, 18
3314;Papel-Cartón;PC 3100 CS;2;SAN BLAS-CANILLEJAS;CANILLEJAS;Carga Superior;448417,493;4476881,201;40,440980543477;-3,608224566368;CS_207_012;CALLE ESFINGE, 63
3315;Vidrio;V 3100 CS;2;SAN BLAS-CANILLEJAS;CANILLEJAS;Carga Superior;448417,493;4476881,201;40,440980543477;-3,608224566368;CS_207_012;CALLE ESFINGE, 63
3316;Papel-Cartón;PC 3100 CS;2;SAN BLAS-CANILLEJAS;CANILLEJAS;Carga Superior;448365,673;4477449,998;40,446101392206;-3,608881792969;CS_207_030;CALLE SAN FAUSTINO, 18
3317;Papel-Cartón;PC 3100 CS;2;SAN BLAS-CANILLEJAS;CANILLEJAS;Carga Superior;448365,673;4477449,998;40,446101392206;-3,608881792969;CS_207_030;CALLE SAN FAUSTINO, 18
3318;Vidrio;V 3100 CS;2;SAN BLAS-CANILLEJAS;CANILLEJAS;Carga Superior;448365,673;4477449,998;40,446101392206;-3,608881792969;CS_207_030;CALLE SAN FAUSTINO, 18
3319;Papel-Cartón;PC 3100 CS;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Superior;448192,763;4472579,461;40,402213780240;-3,610523831379;CS_191_039;CALLE LAVADERO VIEJO, 1
3320;Vidrio;V 3100 CS;2;VICALVARO;CASCO HISTORICO DE VICALVARO;Carga Superior;448192,763;4472579,461;40,402213780240;-3,610523831379;CS_191_039;CALLE LAVADERO VIEJO, 1
3321;Resto;R 2750 CL;2;SAN BLAS-CANILLEJAS;ROSAS;Carga Lateral;448321,313;4475338,922;40,427080774105;-3,609233181021;CL_205_001;CALLE LONGARES, 48
3322;PMB;E 2750 CL;2;SAN BLAS-CANILLEJAS;ROSAS;Carga Lateral;448321,313;4475338,922;40,427080774105;-3,609233181021;CL_205_001;CALLE LONGARES, 48
3323;Orgánica;O 2750 CL;2;SAN BLAS-CANILLEJAS;ROSAS;Carga Lateral;448321,313;4475338,922;40,427080774105;-3,609233181021;CL_205_001;CALLE LONGARES, 48
3324;Papel-Cartón;PC 3100 CS;2;HORTALEZA;VALDEFUENTES;Carga Superior;448015,461;4483339,937;40,499139364123;-3,613494046821;CS_166_189;AVENIDA FRANCISCO JAVIER SAENZ DE OIZA, 174
3325;Vidrio;V 3100 CS;2;HORTALEZA;VALDEFUENTES;Carga Superior;448015,461;4483339,937;40,499139364123;-3,613494046821;CS_166_189;AVENIDA FRANCISCO JAVIER SAENZ DE OIZA, 174
3326;Resto;R 2750 CL;2;SAN BLAS-CANILLEJAS;ROSAS;Carga Lateral;448176,19;4475496,967;40,428495514006;-3,610956808257;CL_205_033;AVENIDA CANILLEJAS A VICALVARO, 74
